zipcode,n_household_2015,median_income2015,n_household_2016,median_income2016,,,,
78705,"8,704","12,385","8,307","13,349",,,,
78741,"20,177","31,657","20,617","34,950",,,,
78721,"4,176","37,234","4,126","38,301",,,,
78742,273,"37,375",280,"36,250",,,,
78752,"7,579","38,841","7,663","38,363",,,,
78724,"6,003","39,350","6,112","41,308",,,,
78753,"18,672","40,376","19,163","41,489",,,,
78702,"8,337","41,016","8,738","48,174",,,,
78719,416,"41,111",444,"45,250",,,,
78723,"11,989","42,433","12,292","42,462",,maybe take this zipcode out,https://www.neilsberg.com/insights/san-marcos-tx-median-household-income/,8 times
78744,"13,249","42,440","13,528","43,871",,,,
78758,"18,447","43,979","18,977","47,244",,could not find,,"6 times, all ecoli"
78751,"7,388","45,726","7,444","51,567",,,,
78617,"6,278","45,995","6,265","47,551",,could not find,"7 times, all ecoli",
78654,"7,176","47,914","6,963","54,002",,,,
78754,"7,171","53,962","7,610","56,819",,,,
78745,"24,940","55,365","25,592","56,778",,,,
78704,"22,043","58,601","22,701","62,283",,,,
78725,"2,294","58,707","2,438","55,119",,,,
78757,"10,591","61,497","10,715","62,992",,high income (uni campus),http://data.census.gov/profile/ZCTA5_78712?g=860XX00US78712,
78653,"5,524","62,198","5,914","60,880",,,"^6 times, big ecoli","^ 23 times, ecoli"
78664,"19,403","62,446","19,868","63,923",,,,
78722,"2,973","64,929","3,082","63,559",,,,
78729,"12,734","65,279","13,052","70,164",,,,
78747,"6,122","67,313","6,158","75,698",,,,
78726,"5,237","70,664","5,345","95,646",,,,
78759,"19,851","71,647","20,118","74,379",,,,
78727,"12,856","72,953","12,900","72,535",,,,
78652,"2,017","73,194","1,918","78,594",,,,
78610,"9,723","74,250","10,252","75,453",,,,
78750,"11,151","76,285","11,374","79,228",,,,
78641,"16,445","77,052","17,274","83,526",,,,
78669,"3,620","77,396","3,926","92,875",,,,
78731,"12,331","82,892","12,588","83,438",,,,
78703,"9,756","88,163","9,998","92,746",,,,
78735,"7,362","89,245","6,983","94,375",,,,
78620,"5,358","91,406","5,407","94,260",,,,
78736,"2,904","92,581","2,973","97,049",,,,
78734,"7,283","95,539","7,395","98,019",,,,
78681,"17,147","96,100","17,328","98,444",,,,
78701,"4,366","96,455","4,570","102,112",,,,
78717,"9,269","100,364","9,403","103,595",,,,
78619,"1,386","101,429","1,342","111,944",,,,
78730,"3,631","105,022","3,752","105,086",,,,
78737,"4,808","127,934","4,979","123,312",,,,
78738,"5,109","128,160","5,423","121,505",,,,
78746,"10,920","128,184","10,817","132,551",,,,
78733,"2,981","130,964","2,991","129,875",,,,
78739,"6,003","132,026","6,254","134,313",,,,
78732,"5,202",132980,"5,327","138,734",,,,
78667,,,,,,,,
78680,,,,,,,,
78691,,,,,,,,
78712,,,,,,,,
78763,,,,,,could not find,"5, ecoli",
78767,,,,,,could not find,38 times,34 times
